corpus_id,entry_no,definition,present,present_1sg,imperfective,perfective,imperative,infinitive,entry_type,h_root,glottal_root,aspect_class,prefix_class,tense_present_class,set_a,plural,animate_objects,variant_present,variant_incompletive,variant_completive,variant_immediate,variant_infinitive
80,84,he/she is leaving it behind (refers to a long object),atisiya'a,tsitisiya'a,atisiyasko'i,utisiyv'i,hitisiya,utisiyasti,Eventful,tisiy,tisiy,a,cons_stem,a_present,True,False,False,1,1,1,1,1
80,84,he/she is leaving it behind (refers to a long object),atisiya'a,tsitisiya'a,atisiyasko'i,utisiyv'i,hitisiya,utisiyasti,Eventful,tisiy,tisiy,a,cons_stem,a_present,True,False,True,1,1,1,1,1
82,86,he/she is drinking it,atithaska,katithaska,atithasko'i,utithahv'i,hatitha,utithasti,Eventful,atitha,atitha,sk-h,a_stem,a_present,True,False,False,1,1,1,2,1
85,89,he/she is scratching,atlakoska,katlakoska,atlakosko'i,utlakosv'i,hatlakola,utlakosti,Eventful,atlako,atlako,sk-s-la,a_stem,a_present,True,False,False,1,1,1,1,1
87,91,he/she is turning off the road,atle'a,katle'a,atlesko'i,utlesv'i,hatlaki,utlesti,Eventful,atl,atl,rev-e,a_stem,a_present,True,False,False,1,1,1,1,1
88,92,he/she is taking revenge against him/her,atletsheha,tsiyatletsheha,atletsheho'i,utletshelv'i,hiyatletshisi,utletshehti,Eventful,atletsh,atletsh,apl,a_stem,a_present,True,False,True,1,1,1,3,1
94,98,it’s pouring into a container (refers to liquid),atlika,,atliko'i,utlitsv'i,,utliyhsti,Eventful,atli,,become,a_stem,a_present,True,False,False,1,1,1,1,3
94,98,it’s pouring into a container (refers to liquid),atlika,,atliko'i,utlitsv'i,,utliyhsti,Eventful,atli,,become,a_stem,a_present,True,False,True,1,1,1,1,3
94,98,it’s pouring into a container (refers to liquid),atlika,,atliko'i,utlitsv'i,,utliyhsti,Eventful,tli,,become,cons_stem,a_present,True,False,False,1,1,1,1,3
94,98,it’s pouring into a container (refers to liquid),atlika,,atliko'i,utlitsv'i,,utliyhsti,Eventful,tli,,become,cons_stem,a_present,True,False,True,1,1,1,1,3
96,100,he/she is pouring a liquid into a container,atlistiha,tsitlistiha,atlistisko'i,utlisthanv'i,hitlista,utlistohti,Eventful,tlist,tlist,cause,cons_stem,a_present,True,False,False,1,1,1,1,1
96,100,he/she is pouring a liquid into a container,atlistiha,tsitlistiha,atlistisko'i,utlisthanv'i,hitlista,utlistohti,Eventful,tlist,tlist,cause,cons_stem,a_present,True,False,True,1,1,1,1,1
99,103,he/she is getting off,atloyhska,katloyhska,atloyhsko'i,utloyhsv'i,hatlohi,utlohisti,StativeNoImp,atloyhs,atloyhs,stative-k,a_stem,a_present,True,False,False,1,1,1,1,1
100,104,he/she is bragging,atlvkwhska,katlvkwaska,atlvkwhsko'i,utlvkwhsv'i,hatlvkwha,utlvkwhisti,StativeNoImp,atlvkwhs,atlvkwas,stative-k,a_stem,a_present,True,False,False,1,1,1,1,1
100,104,he/she is bragging,atlvkwhska,katlvkwaska,atlvkwhsko'i,utlvkwhsv'i,hatlvkwha,utlvkwhisti,StativeNoImp,atlvkwhs,atlvkwhas,stative-k,a_stem,a_present,True,False,False,1,1,1,1,1
101,105,he/she is catching up with him/her,atlvthaska,tsiyatlvthaska,atlvthasko'i,utlvthahv'i,hiyatlvtha,utlvthasti,Eventful,atlvtha,atlvtha,sk-h,a_stem,a_present,True,False,True,1,1,1,2,1
107,111,he/she is acting silly,atvneliha,katvneliha,atvnelisko'i,utvnelvnhv'i,hatvnela,utvnelhti,Eventful,atvnel,atvnel,vnh-ih-a,a_stem,a_present,True,False,False,1,1,1,1,1
109,113,he/she is preparing it,atvnv'istiha,katvnv'istiha,atvnv'istisko'i,utvnv'isthanv'i,hatvnv'ista,utvnv'istohti,Eventful,atvnv'ist,atvnv'ist,cause,a_stem,a_present,True,False,False,1,1,1,1,1
112,116,it is shining (refers to sun or moon),akaliha,,akalisko'i,ukalisv'i,,ukalihisti,Eventful,akal,,ih-ihi,a_stem,a_present,True,False,False,1,1,1,1,1
112,116,it is shining (refers to sun or moon),akaliha,,akalisko'i,ukalisv'i,,ukalihisti,Eventful,akal,,ih-ihi,a_stem,a_present,True,False,True,1,1,1,1,1
112,116,it is shining (refers to sun or moon),akaliha,,akalisko'i,ukalisv'i,,ukalihisti,Eventful,kal,,ih-ihi,cons_stem,a_present,True,False,False,1,1,1,1,1
112,116,it is shining (refers to sun or moon),akaliha,,akalisko'i,ukalisv'i,,ukalihisti,Eventful,kal,,ih-ihi,cons_stem,a_present,True,False,True,1,1,1,1,1
113,117,he/she is breaking it (refers to a flexible object),akalhska,tsikalhska,akalhsko'i,ukalhsv'i,hika'la,ukalhsti,StativeNoImp,kalhs,kalhs,stative-k,cons_stem,a_present,True,False,False,1,1,1,1,1
113,117,he/she is breaking it (refers to a flexible object),akalhska,tsikalhska,akalhsko'i,ukalhsv'i,hika'la,ukalhsti,StativeNoImp,kalhs,kalhs,stative-k,cons_stem,a_present,True,False,True,1,1,1,1,1
115,119,he/she is licking it,akanati'a,tsikanati'a,akanatisko'i,ukanatv'i,hikanata,ukanatisti,Eventful,kanat,kanat,i-a-i,cons_stem,a_present,True,False,False,1,1,1,1,1
115,119,he/she is licking it,akanati'a,tsikanati'a,akanatisko'i,ukanatv'i,hikanata,ukanatisti,Eventful,kanat,kanat,i-a-i,cons_stem,a_present,True,False,True,1,1,1,1,1
117,121,he/she is warming it,akanawhtiha,tsikanawotiha,akanawhtisko'i,ukanawhthanv'i,hikanawhta,ukanawhtohti,Eventful,kanawht,kanawhot,cause,cons_stem,a_present,True,False,False,1,1,1,1,1
117,121,he/she is warming it,akanawhtiha,tsikanawotiha,akanawhtisko'i,ukanawhthanv'i,hikanawhta,ukanawhtohti,Eventful,kanawht,kanawhot,cause,cons_stem,a_present,True,False,True,1,1,1,1,1
117,121,he/she is warming it,akanawhtiha,tsikanawotiha,akanawhtisko'i,ukanawhthanv'i,hikanawhta,ukanawhtohti,Eventful,kanawht,kanawot,cause,cons_stem,a_present,True,False,False,1,1,1,1,1
117,121,he/she is warming it,akanawhtiha,tsikanawotiha,akanawhtisko'i,ukanawhthanv'i,hikanawhta,ukanawhtohti,Eventful,kanawht,kanawot,cause,cons_stem,a_present,True,False,True,1,1,1,1,1
118,122,it’s getting warm,akanawoska,,akanawosko'i,ukanawosv'i,,ukanawohisti,Eventful,akanawo,,sk-s-a,a_stem,a_present,True,False,False,1,1,1,1,1
118,122,it’s getting warm,akanawoska,,akanawosko'i,ukanawosv'i,,ukanawohisti,Eventful,akanawo,,sk-s-a,a_stem,a_present,True,False,True,1,1,1,1,1
118,122,it’s getting warm,akanawoska,,akanawosko'i,ukanawosv'i,,ukanawohisti,Eventful,akanawo,,sk-s-hi-hihst,a_stem,a_present,True,False,False,1,1,1,1,1
118,122,it’s getting warm,akanawoska,,akanawosko'i,ukanawosv'i,,ukanawohisti,Eventful,akanawo,,sk-s-hi-hihst,a_stem,a_present,True,False,True,1,1,1,1,1
118,122,it’s getting warm,akanawoska,,akanawosko'i,ukanawosv'i,,ukanawohisti,Eventful,kanawo,,sk-s-a,cons_stem,a_present,True,False,False,1,1,1,1,1
118,122,it’s getting warm,akanawoska,,akanawosko'i,ukanawosv'i,,ukanawohisti,Eventful,kanawo,,sk-s-a,cons_stem,a_present,True,False,True,1,1,1,1,1
118,122,it’s getting warm,akanawoska,,akanawosko'i,ukanawosv'i,,ukanawohisti,Eventful,kanawo,,sk-s-hi-hihst,cons_stem,a_present,True,False,False,1,1,1,1,1
118,122,it’s getting warm,akanawoska,,akanawosko'i,ukanawosv'i,,ukanawohisti,Eventful,kanawo,,sk-s-hi-hihst,cons_stem,a_present,True,False,True,1,1,1,1,1
127,132,he/she is eating it (refers to a single solid food),aki'a,tsiki'a,akisko'i,ukv'i,hika,ukisti,Eventful,k,k,i-a-i,cons_stem,a_present,True,False,False,1,1,1,1,1
127,132,he/she is eating it (refers to a single solid food),aki'a,tsiki'a,akisko'i,ukv'i,hika,ukisti,Eventful,k,k,i-a-i,cons_stem,a_present,True,False,True,1,1,1,1,1
128,133,he/she is picking it up,aki'a,tsiki'a,akisko'i,ukisv'i,hiki,ukisti,Eventful,k,k,rev-i,cons_stem,a_present,True,False,False,1,1,1,1,1
128,133,he/she is picking it up,aki'a,tsiki'a,akisko'i,ukisv'i,hiki,ukisti,Eventful,k,k,rev-i,cons_stem,a_present,True,False,True,1,1,1,1,1
130,135,he/she is in agony,akilhiyoka,tsikiliyoka,akilhiyoko'i,ukilhiyotsv'i,hikilhiyoki,ukilhiyosti,Eventful,kilhiyo,kiliyo,become,cons_stem,a_present,True,False,False,1,1,1,1,1
130,135,he/she is in agony,akilhiyoka,tsikiliyoka,akilhiyoko'i,ukilhiyotsv'i,hikilhiyoki,ukilhiyosti,Eventful,kilhiyo,kiliyo,become,cons_stem,a_present,True,False,True,1,1,1,1,1
133,138,he/she is chewing it,akisto'a,tsikisto'a,akistosko'i,ukisto'v'i,hikistotsa,ukistosti,Eventful,kist,kist,o,cons_stem,a_present,True,False,False,1,1,1,1,1
133,138,he/she is chewing it,akisto'a,tsikisto'a,akistosko'i,ukisto'v'i,hikistotsa,ukistosti,Eventful,kist,kist,o,cons_stem,a_present,True,False,True,1,1,1,1,1
135,140,he/she is burning him/her,akohvstiha,tsiyakohvstiha,akohvstisko'i,ukohvsthanv'i,hiyakohvsta,ukohvstohti,Eventful,akohvst,akohvst,cause,a_stem,a_present,True,False,True,1,1,1,1,1
136,141,it’s burning,akohvska,kakohvska,akohvsko'i,ukonhv'i,hakonha,ukohvsti,Eventful,ak,ak,terminative,a_stem,a_present,True,False,False,1,1,1,1,1
136,141,it’s burning,akohvska,kakohvska,akohvsko'i,ukonhv'i,hakonha,ukohvsti,Eventful,ako,ako,terminative-no-o,a_stem,a_present,True,False,False,1,1,1,1,1
138,143,he/she is reading,akoliye'a,tsikoliye'a,akoliyesko'i,ukoliye'v'i,hikoliya,ukoliyeti,Eventful,koliy,koliy,e-a,cons_stem,a_present,True,False,False,1,1,1,1,1
138,143,he/she is reading,akoliye'a,tsikoliye'a,akoliyesko'i,ukoliye'v'i,hikoliya,ukoliyeti,Eventful,koliy,koliy,e-a,cons_stem,a_present,True,False,True,1,1,1,1,1
140,145,he/she is target practicing,akoniha,kakoniha,akonisko'i,ukonvhv'i,hakona,ukonhti,Eventful,akon,akon,ih-vh,a_stem,a_present,True,False,False,1,1,1,1,1
145,150,he/she is showing it to him/her,akowhthvhtiha,tsikowhthvhtiha,akowhthvhtisko'i,ukowhthvhthanv'i,hikowhthvhta,ukowhthvhtohti,Eventful,kowhthvht,kowhthvht,cause,cons_stem,a_present,True,False,False,1,1,1,1,1
145,150,he/she is showing it to him/her,akowhthvhtiha,tsikowhthvhtiha,akowhthvhtisko'i,ukowhthvhthanv'i,hikowhthvhta,ukowhthvhtohti,Eventful,kowhthvht,kowhthvht,cause,cons_stem,a_present,True,False,True,1,1,1,1,1
148,153,he/she is cutting it,akvhaliha,tsikv'aliha,akvhalisko'i,ukvhalvhv'i,hikvhala,ukvhalhti,Eventful,kvhal,kv'al,ih-vh,cons_stem,a_present,True,False,False,1,1,1,1,1
148,153,he/she is cutting it,akvhaliha,tsikv'aliha,akvhalisko'i,ukvhalvhv'i,hikvhala,ukvhalhti,Eventful,kvhal,kv'al,ih-vh,cons_stem,a_present,True,False,True,1,1,1,1,1
152,157,he/she is scolding him/her,akvskolvska,tsikvskolvska,akvskolvsko'i,ukvskolvnv'i,hikvskolv'vka,ukvskolvti,Eventful,kvskol,kvskol,vsk,cons_stem,a_present,True,False,False,1,1,1,2,1
152,157,he/she is scolding him/her,akvskolvska,tsikvskolvska,akvskolvsko'i,ukvskolvnv'i,hikvskolv'vka,ukvskolvti,Eventful,kvskol,kvskol,vsk,cons_stem,a_present,True,False,True,1,1,1,2,1
153,158,he/she is washing his face,akvskwo'a,kakvskwo'a,akvskwosko'i,ukvskwo'v'i,hakvskwotsa,ukvskwosti,Eventful,akvskw,akvskw,o,a_stem,a_present,True,False,False,1,1,1,1,1
155,161,he/she is diverting him/her,ahaluki'a,tsi'aluki'a,ahalukisko'i,uhalukisv'i,hi'aluki,uhalukisti,Eventful,halu,'alu,rev-gi,cons_stem,a_present,True,False,True,1,1,1,1,1
155,161,he/she is diverting him/her,ahaluki'a,tsi'aluki'a,ahalukisko'i,uhalukisv'i,hi'aluki,uhalukisti,Eventful,haluk,'aluk,rev-i,cons_stem,a_present,True,False,True,1,1,1,1,1
158,164,he/she is smothering him/her,ahawostiha,tsi'awostiha,ahawostisko'i,uhawosthanv'i,hi'awosta,uhawostohti,Eventful,hawost,'awost,cause,cons_stem,a_present,True,False,True,1,1,1,1,1
160,166,he/she is handling it,ahitoha,tsi'itoha,ahitoho'i,uhitolv'i,hihita,uhitasti,Eventful,hit,'it,be-at,cons_stem,a_present,True,False,False,1,1,1,1,1
160,166,he/she is handling it,ahitoha,tsi'itoha,ahitoho'i,uhitolv'i,hihita,uhitasti,Eventful,hit,'it,be-at,cons_stem,a_present,True,False,True,1,1,1,1,1
165,171,he/she is leaving it behind,ahiya'a,tsi'iya'a,ahiyasko'i,uhiyv'i,hihiya,uhiyasti,Eventful,hiy,'iy,a,cons_stem,a_present,True,False,False,1,1,1,1,1
165,171,he/she is leaving it behind,ahiya'a,tsi'iya'a,ahiyasko'i,uhiyv'i,hihiya,uhiyasti,Eventful,hiy,'iy,a,cons_stem,a_present,True,False,True,1,1,1,1,1
166,172,he/she is placing it on something,alhahvska,tsilhahvska,alhahvsko'i,ulhanhv'i,hilhahvka,ulhohti,Eventful,lha,lha,hvsk-nh,cons_stem,a_present,True,False,False,1,1,1,1,4
166,172,he/she is placing it on something,alhahvska,tsilhahvska,alhahvsko'i,ulhanhv'i,hilhahvka,ulhohti,Eventful,lha,lha,hvsk-nh,cons_stem,a_present,True,False,True,1,1,1,1,4
167,173,he/she is taking off flying,alhawitiha,katlawitiha,alhawitisko'i,ulhawitvhv'i,halhawita,ulhawithti,Eventful,alhawit,atlawit,ih-vh,a_stem,a_present,True,False,False,1,1,1,1,1
169,175,he/she is making him/her fly,alhawithtiha,tsiyatlawithtiha,alhawithtisko'i,ulhawithtanv'i,hiyatlawithta,ulhawithtohti,Eventful,alhawitht,atlawitht,cause,a_stem,a_present,True,False,True,1,1,3,1,1
171,177,he/she is having a nightmare,alhiki'a,katliki'a,alhikisko'i,ulhikisv'i,halhiki,ulhikisti,Eventful,alhi,atli,rev-gi,a_stem,a_present,True,False,False,1,1,1,1,1
171,177,he/she is having a nightmare,alhiki'a,katliki'a,alhikisko'i,ulhikisv'i,halhiki,ulhikisti,Eventful,alhik,atlik,rev-i,a_stem,a_present,True,False,False,1,1,1,1,1
172,178,it’s taking time,alhi'ilitoha,,alhi'ilitoho'i,ulhi'ilitolv'i,,ulhi'ilitasti,Eventful,alhi'ilit,,be-at,a_stem,a_present,True,False,False,1,1,1,1,1
172,178,it’s taking time,alhi'ilitoha,,alhi'ilitoho'i,ulhi'ilitolv'i,,ulhi'ilitasti,Eventful,alhi'ilit,,be-at,a_stem,a_present,True,False,True,1,1,1,1,1
172,178,it’s taking time,alhi'ilitoha,,alhi'ilitoho'i,ulhi'ilitolv'i,,ulhi'ilitasti,Eventful,alhi'ilit,,oh-ol,a_stem,a_present,True,False,False,1,1,1,1,3
172,178,it’s taking time,alhi'ilitoha,,alhi'ilitoho'i,ulhi'ilitolv'i,,ulhi'ilitasti,Eventful,alhi'ilit,,oh-ol,a_stem,a_present,True,False,True,1,1,1,1,3
172,178,it’s taking time,alhi'ilitoha,,alhi'ilitoho'i,ulhi'ilitolv'i,,ulhi'ilitasti,Eventful,lhi'ilit,,be-at,cons_stem,a_present,True,False,False,1,1,1,1,1
172,178,it’s taking time,alhi'ilitoha,,alhi'ilitoho'i,ulhi'ilitolv'i,,ulhi'ilitasti,Eventful,lhi'ilit,,be-at,cons_stem,a_present,True,False,True,1,1,1,1,1
